Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
11/27/2020,ID-KS,Kalimantan Selatan,44,2,39,3,13091,523,11709,859,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,10.94,3254.00,0.50,130.00,4.00%,89.44%,0.90,0.67
11/27/2020,ID-KT,Kalimantan Tengah,86,4,57,25,5689,190,4588,911,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,33.46,2213.37,1.56,73.92,3.34%,80.65%,1.76,2.00
11/27/2020,ID-KI,Kalimantan Timur,165,6,140,19,19081,551,15753,2777,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,46.45,5371.61,1.69,155.12,2.89%,82.56%,0.74,0.75
11/27/2020,ID-KU,Kalimantan Utara,57,1,10,46,1377,17,931,429,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,87.91,2123.67,1.54,26.22,1.23%,67.61%,1.54,1.00
11/27/2020,ID-BB,Kepulauan Bangka Belitung,20,0,11,9,964,12,794,158,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,14.50,698.67,0.00,8.70,1.24%,82.37%,1.18,1.00
11/27/2020,ID-KR,Kepulauan Riau,46,3,32,11,5350,135,4040,1175,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,23.84,2772.88,1.55,69.97,2.52%,75.51%,2.56,1.50
11/27/2020,ID-LA,Lampung,157,10,84,63,3497,151,1856,1490,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,17.26,384.47,1.10,16.60,4.32%,53.07%,1.54,2.50
11/27/2020,ID-MA,Maluku,0,0,0,0,4428,60,3755,613,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,0.00,2397.28,0.00,32.48,1.36%,84.80%,0.00,1.00
11/27/2020,ID-MU,Maluku Utara,6,0,0,6,2362,81,1971,310,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,4.59,1806.08,0.00,61.94,3.43%,83.45%,6.00,1.00
11/27/2020,ID-NB,Nusa Tenggara Barat,38,1,13,24,4615,238,3707,670,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,7.21,875.67,0.19,45.16,5.16%,80.33%,2.24,
